Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100527,-2.191 ,0.272 ,-0.083 ,1.406 ,-0.296 ,-0.957 
100528,-2.229 ,0.257 ,-0.975 ,1.371 ,0.129 ,-1.172 
100529,-2.411 ,0.327 ,-1.089 ,0.922 ,0.257 ,-1.842 
100530,-2.073 ,0.554 ,-1.694 ,0.605 ,0.355 ,-1.992 
100531,-1.835 ,0.381 ,-1.935 ,0.766 ,0.039 ,-1.478 
100532,-1.733 ,-0.205 ,-0.672 ,1.005 ,-0.282 ,-1.276 
100533,-0.878 ,-0.427 ,-1.261 ,1.067 ,0.025 ,-0.897 
100534,-0.372 ,-0.650 ,-2.014 ,0.717 ,0.311 ,-0.139 
100535,-0.468 ,-0.552 ,-2.112 ,0.156 ,0.324 ,-0.211 
100536,-0.408 ,-0.548 ,-2.184 ,-0.265 ,0.038 ,-0.034 
100537,-0.192 ,-0.333 ,-1.914 ,-0.785 ,-0.064 ,0.051 
100538,0.087 ,-0.222 ,-1.666 ,-0.705 ,-0.111 ,0.214 
100539,0.283 ,0.124 ,-1.391 ,-1.108 ,-0.486 ,0.447 
100540,0.140 ,0.512 ,-1.360 ,-1.726 ,-0.958 ,0.515 
100541,-0.244 ,1.337 ,-1.040 ,-3.225 ,-1.695 ,1.021 
100542,-0.810 ,-0.893 ,-1.139 ,1.939 ,0.608 ,-0.737 
100543,-0.810 ,-0.981 ,-0.780 ,2.157 ,0.569 ,-0.956 
100544,-1.070 ,-0.923 ,-0.165 ,2.483 ,0.348 ,-1.403 
100545,-1.472 ,-0.556 ,0.140 ,2.415 ,0.101 ,-1.498 
100546,-1.546 ,-0.353 ,0.381 ,1.959 ,0.080 ,-0.769 
100547,-2.089 ,-1.140 ,1.819 ,2.405 ,-0.113 ,-1.067 
100548,-2.346 ,-1.153 ,0.938 ,1.843 ,-0.007 ,-1.351 
100549,-2.419 ,-0.559 ,-0.204 ,1.119 ,0.260 ,-1.904 
100550,-2.148 ,0.429 ,-1.272 ,0.486 ,0.295 ,-1.772 
100551,-1.977 ,0.446 ,-2.233 ,1.062 ,-0.051 ,-0.881 
100552,-1.427 ,0.241 ,-1.709 ,1.187 ,-0.033 ,-0.721 
100553,-0.449 ,-0.189 ,-1.859 ,0.998 ,0.301 ,-0.098 
100554,-0.479 ,-0.225 ,-1.797 ,0.663 ,0.333 ,0.029 
100555,-0.544 ,-0.290 ,-1.956 ,0.101 ,0.049 ,0.041 
100556,-0.454 ,-0.268 ,-1.919 ,-0.627 ,-0.002 ,0.109 
100557,-0.276 ,0.016 ,-2.010 ,-0.566 ,-0.276 ,0.426 
100558,0.013 ,0.228 ,-1.530 ,-0.711 ,-0.528 ,0.650 
100559,0.106 ,0.789 ,-0.987 ,-2.789 ,-0.923 ,0.896 
100560,-0.172 ,0.844 ,-0.553 ,-2.993 ,-1.762 ,1.226 
100561,-0.880 ,-0.728 ,-1.672 ,1.739 ,0.676 ,-0.313 
100562,-1.026 ,-0.631 ,-1.588 ,1.838 ,0.482 ,-0.430 
100563,-0.932 ,-0.742 ,-1.269 ,1.855 ,0.317 ,-0.480 
100564,-1.169 ,-0.841 ,-0.596 ,2.225 ,0.240 ,-0.974 
100565,-1.191 ,-0.974 ,0.119 ,2.632 ,0.410 ,-1.074 
100566,-1.086 ,-1.708 ,1.821 ,3.176 ,0.506 ,-0.918 
100567,-1.921 ,-2.377 ,3.047 ,2.727 ,-0.199 ,-1.042 
100568,-2.508 ,-1.548 ,1.500 ,1.941 ,-0.155 ,-1.414 
100569,-2.846 ,0.084 ,-0.063 ,1.006 ,-0.152 ,-1.801 
100570,-2.473 ,1.319 ,-1.536 ,0.529 ,0.007 ,-1.522 
100571,-1.888 ,1.251 ,-2.915 ,0.931 ,0.172 ,-0.675 
100572,-1.626 ,0.522 ,-1.049 ,1.142 ,0.038 ,-1.053 
100573,-0.716 ,0.045 ,-2.215 ,0.760 ,0.396 ,-0.001 
100574,-0.803 ,-0.006 ,-2.135 ,0.154 ,0.101 ,0.060 
100575,-0.793 ,0.085 ,-2.290 ,-0.368 ,-0.127 ,0.153 
100576,-0.561 ,0.319 ,-1.970 ,-0.601 ,-0.408 ,0.735 
100577,-0.223 ,-0.045 ,-1.225 ,-0.750 ,-0.643 ,0.864 
100578,-0.114 ,0.346 ,-1.003 ,-1.075 ,-0.885 ,0.947 
100579,0.630 ,0.086 ,-0.356 ,-2.828 ,-0.297 ,0.933 
100580,-0.118 ,0.390 ,-0.289 ,-3.143 ,-1.588 ,1.269 
100581,-1.188 ,-0.307 ,-2.010 ,1.695 ,0.322 ,-0.162 
100582,-1.090 ,-0.915 ,-1.542 ,2.145 ,0.198 ,-0.093 
100583,-1.025 ,-1.217 ,-1.117 ,2.263 ,0.385 ,-0.538 
100584,-0.979 ,-1.305 ,-0.580 ,2.574 ,0.618 ,-1.033 
100585,-0.760 ,-1.472 ,0.302 ,3.176 ,0.837 ,-1.242 
100586,-1.084 ,-2.753 ,2.632 ,3.342 ,0.174 ,-1.169 
100587,-2.165 ,-1.846 ,2.312 ,2.492 ,-0.249 ,-1.273 
100588,-2.976 ,-0.071 ,1.121 ,1.599 ,-0.474 ,-1.643 
100589,-2.633 ,1.819 ,-1.172 ,0.482 ,0.133 ,-1.962 
100590,-2.199 ,1.925 ,-2.974 ,0.534 ,0.414 ,-1.336 
100591,-2.006 ,1.046 ,-1.832 ,0.920 ,0.244 ,-1.335 
100592,-1.326 ,0.488 ,-1.942 ,0.762 ,0.178 ,-0.619 
100593,-1.161 ,0.348 ,-2.524 ,0.244 ,-0.034 ,0.131 
