Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100191,3.491 ,-0.950 ,-1.376 ,-2.595 ,0.208 ,1.429 
100192,3.929 ,-0.111 ,-1.391 ,-2.418 ,0.414 ,0.027 
100193,4.303 ,-0.305 ,-0.797 ,-2.281 ,0.436 ,-0.290 
100194,4.274 ,-0.040 ,-1.032 ,-1.648 ,0.331 ,-0.249 
100195,4.456 ,0.324 ,-0.965 ,-0.838 ,0.185 ,-0.135 
100196,4.524 ,0.413 ,-0.930 ,0.255 ,0.026 ,-0.099 
100197,4.177 ,0.600 ,-0.999 ,1.641 ,-0.748 ,-0.084 
100198,4.114 ,0.949 ,-0.524 ,1.799 ,-1.353 ,-0.284 
100199,3.147 ,-2.679 ,-0.215 ,-0.348 ,-0.132 ,1.762 
100200,3.005 ,-2.526 ,-0.410 ,-0.548 ,0.207 ,1.715 
100201,3.095 ,-2.076 ,-0.923 ,-1.210 ,0.313 ,1.857 
100202,3.071 ,-1.859 ,-1.088 ,-1.595 ,0.034 ,1.794 
100203,2.949 ,-1.867 ,-1.191 ,-1.565 ,-0.189 ,1.702 
100204,2.908 ,-1.724 ,-1.560 ,-1.559 ,0.023 ,1.797 
100205,3.171 ,-1.238 ,-1.126 ,-2.380 ,-0.047 ,1.659 
100206,3.488 ,-0.726 ,-1.609 ,-2.249 ,0.319 ,0.182 
100207,3.657 ,-0.732 ,-1.776 ,-1.818 ,0.610 ,-0.045 
100208,3.977 ,-0.415 ,-1.288 ,-1.781 ,0.692 ,-0.145 
100209,4.085 ,-0.102 ,-1.422 ,-0.854 ,0.547 ,-0.075 
100210,4.376 ,0.088 ,-1.087 ,-0.437 ,0.557 ,-0.109 
100211,4.380 ,0.018 ,-0.907 ,0.115 ,0.243 ,-0.211 
100212,4.295 ,0.322 ,-0.710 ,0.788 ,-0.422 ,-0.285 
100213,4.202 ,0.777 ,-0.571 ,1.339 ,-1.302 ,-0.391 
100214,2.980 ,-2.988 ,-0.229 ,-0.066 ,-0.132 ,1.734 
100215,2.788 ,-2.714 ,-0.367 ,-0.441 ,-0.178 ,1.572 
100216,2.821 ,-2.424 ,-0.598 ,-0.781 ,-0.153 ,1.630 
100217,2.725 ,-2.209 ,-1.133 ,-0.872 ,-0.071 ,1.753 
100218,2.618 ,-2.219 ,-1.334 ,-1.075 ,-0.102 ,1.654 
100219,2.721 ,-1.985 ,-1.273 ,-1.517 ,0.097 ,1.626 
100220,2.815 ,-1.522 ,-1.067 ,-1.891 ,-0.069 ,1.633 
100221,3.065 ,-1.522 ,-0.969 ,-2.513 ,0.199 ,1.232 
100222,3.352 ,-1.077 ,-1.629 ,-2.268 ,0.840 ,0.120 
100223,3.431 ,-0.903 ,-2.048 ,-1.275 ,0.838 ,0.064 
100224,3.883 ,-0.496 ,-1.222 ,-1.487 ,0.795 ,-0.263 
100225,3.896 ,-0.213 ,-1.371 ,-0.678 ,0.460 ,-0.185 
100226,4.046 ,-0.119 ,-1.216 ,-0.523 ,0.448 ,-0.190 
100227,4.164 ,-0.110 ,-0.918 ,0.004 ,0.305 ,-0.271 
100228,4.115 ,0.160 ,-0.785 ,0.627 ,-0.216 ,-0.310 
100229,4.137 ,0.083 ,0.002 ,1.030 ,-0.565 ,-0.624 
100230,2.625 ,-3.064 ,-0.174 ,0.191 ,-0.234 ,1.634 
100231,2.452 ,-2.762 ,-0.257 ,-0.108 ,-0.755 ,1.444 
100232,2.375 ,-2.632 ,-0.463 ,-0.367 ,-0.857 ,1.299 
100233,2.402 ,-2.460 ,-0.833 ,-0.662 ,-0.564 ,1.438 
100234,2.411 ,-2.234 ,-1.272 ,-0.954 ,-0.332 ,1.617 
100235,2.396 ,-1.941 ,-1.379 ,-0.909 ,-0.193 ,1.751 
100236,2.401 ,-2.056 ,-1.097 ,-1.159 ,-0.117 ,1.579 
100237,2.635 ,-2.194 ,-0.986 ,-1.780 ,0.302 ,1.479 
100238,2.779 ,-1.855 ,-1.738 ,-1.875 ,0.783 ,1.421 
100239,3.442 ,-1.125 ,-1.278 ,-2.107 ,1.196 ,-0.236 
100240,3.625 ,-0.953 ,-1.116 ,-1.788 ,0.896 ,-0.404 
100241,3.544 ,-0.647 ,-1.342 ,-1.030 ,0.414 ,-0.391 
100242,3.650 ,-0.301 ,-1.557 ,-0.949 ,0.528 ,-0.193 
100243,3.590 ,-0.240 ,-1.810 ,-0.110 ,0.389 ,-0.077 
100244,3.739 ,-0.439 ,-1.468 ,0.190 ,0.404 ,-0.187 
100245,4.029 ,-0.450 ,-0.494 ,0.140 ,0.113 ,-0.616 
100246,4.099 ,-0.241 ,0.235 ,1.056 ,-0.487 ,-0.779 
100247,2.384 ,-3.499 ,0.285 ,0.959 ,-0.238 ,1.457 
100248,2.334 ,-3.252 ,0.091 ,0.612 ,-0.461 ,1.485 
