Gridcode,Viola_adunca,Viola_affinis,Viola_bicolor,Viola_brittoniana,Viola_canadensis,Viola_hastata,Viola_hirsutula,Viola_labradorica,Viola_lanceolata,Viola_nephrophylla,Viola_odorata,Viola_pedata,Viola_renifolia,Viola_rostrata,Viola_rotundifolia,Viola_selkirkii,Viola_septemloba,Viola_septentrionalis,Viola_striata,Viola_tricolor,Viola_triloba,Viola_tripartita,Viola_walteri
100061,0.000 ,0.471 ,0.002 ,0.011 ,0.004 ,0.000 ,0.005 ,0.012 ,0.674 ,0.002 ,0.000 ,0.001 ,0.000 ,0.004 ,0.004 ,0.000 ,0.603 ,0.002 ,0.004 ,0.135 ,0.119 ,0.000 ,0.097 
100062,0.000 ,0.422 ,0.002 ,0.016 ,0.015 ,0.001 ,0.007 ,0.012 ,0.640 ,0.002 ,0.001 ,0.003 ,0.000 ,0.012 ,0.007 ,0.001 ,0.506 ,0.001 ,0.016 ,0.098 ,0.138 ,0.000 ,0.130 
100063,0.000 ,0.463 ,0.023 ,0.318 ,0.004 ,0.001 ,0.012 ,0.005 ,0.662 ,0.000 ,0.000 ,0.003 ,0.000 ,0.002 ,0.004 ,0.000 ,0.704 ,0.001 ,0.004 ,0.184 ,0.243 ,0.002 ,0.402 
100064,0.000 ,0.498 ,0.036 ,0.068 ,0.000 ,0.000 ,0.008 ,0.006 ,0.706 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.002 ,0.000 ,0.761 ,0.001 ,0.001 ,0.214 ,0.076 ,0.001 ,0.331 
100065,0.000 ,0.485 ,0.030 ,0.091 ,0.002 ,0.001 ,0.020 ,0.012 ,0.668 ,0.002 ,0.000 ,0.004 ,0.000 ,0.002 ,0.004 ,0.000 ,0.664 ,0.003 ,0.004 ,0.203 ,0.137 ,0.002 ,0.241 
100066,0.000 ,0.468 ,0.011 ,0.056 ,0.003 ,0.001 ,0.012 ,0.009 ,0.681 ,0.002 ,0.000 ,0.002 ,0.000 ,0.003 ,0.003 ,0.000 ,0.662 ,0.002 ,0.004 ,0.175 ,0.141 ,0.001 ,0.223 
100067,0.000 ,0.443 ,0.006 ,0.059 ,0.007 ,0.002 ,0.009 ,0.007 ,0.691 ,0.001 ,0.000 ,0.002 ,0.000 ,0.004 ,0.004 ,0.000 ,0.617 ,0.001 ,0.007 ,0.140 ,0.191 ,0.001 ,0.220 
100068,0.000 ,0.409 ,0.006 ,0.023 ,0.014 ,0.003 ,0.013 ,0.013 ,0.609 ,0.002 ,0.001 ,0.006 ,0.000 ,0.013 ,0.007 ,0.001 ,0.501 ,0.001 ,0.021 ,0.092 ,0.124 ,0.001 ,0.188 
100069,0.000 ,0.460 ,0.037 ,0.216 ,0.003 ,0.003 ,0.012 ,0.003 ,0.651 ,0.000 ,0.000 ,0.004 ,0.000 ,0.001 ,0.002 ,0.000 ,0.737 ,0.000 ,0.003 ,0.182 ,0.200 ,0.004 ,0.548 
100070,0.000 ,0.493 ,0.037 ,0.075 ,0.000 ,0.000 ,0.005 ,0.003 ,0.712 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.001 ,0.000 ,0.810 ,0.000 ,0.001 ,0.214 ,0.076 ,0.001 ,0.535 
