Gridcode,longitude,latitude,altitude
100683,-76.675,40.057,144.345
100684,-76.316,40.057,122.016
100685,-75.957,40.057,179.765
100686,-75.598,40.057,119.191
100687,-75.238,40.057,71.201
100688,-74.879,40.057,23.033
100689,-74.52,40.057,38.307
100690,-74.191,40.062,20.495
100691,-80.269,40.331,346.096
100692,-79.909,40.331,316.771
100693,-79.55,40.331,350.606
100694,-79.191,40.331,477.501
100695,-78.831,40.331,597.114
100696,-78.472,40.331,513.138
100697,-78.113,40.331,380.468
100698,-77.753,40.331,338.663
100699,-77.394,40.331,275.813
100700,-77.035,40.331,174.948
100701,-76.675,40.331,175.466
100702,-76.316,40.331,170.152
100703,-75.957,40.331,150.398
100704,-75.598,40.331,139.98
100705,-75.238,40.331,123.687
100706,-74.879,40.331,74.042
100707,-74.52,40.331,36.791
100708,-74.168,40.323,29.577
100709,-80.269,40.605,322.267
100710,-79.909,40.605,333.633
100711,-79.55,40.605,346.934
100712,-79.191,40.605,398.823
100713,-78.831,40.605,549.875
100714,-78.472,40.605,551.998
100715,-78.113,40.605,356.914
100716,-77.753,40.605,343.464
100717,-77.394,40.605,270.505
100718,-77.035,40.605,215.84
100719,-76.675,40.605,283.78
100720,-76.316,40.605,289.796
100721,-75.957,40.605,214.497
100722,-75.598,40.605,171.275
100723,-75.238,40.605,140.667
100724,-74.879,40.605,125.786
100725,-74.52,40.605,61.441
100726,-74.189,40.63,19.361
100727,-73.806,40.658,10.719
100728,-80.269,40.877,340.955
100729,-79.909,40.877,382.033
100730,-79.55,40.877,377.064
100731,-79.191,40.877,425.05
100732,-78.831,40.877,498.294
100733,-78.472,40.877,497.117
100734,-78.113,40.877,513.003
100735,-77.753,40.877,397.296
100736,-77.394,40.877,440.009
100737,-77.035,40.877,246.829
100738,-76.675,40.877,236.864
100739,-76.316,40.877,362.112
100740,-75.957,40.877,417.34
100741,-75.598,40.877,317.813
100742,-75.238,40.877,220.008
100743,-74.879,40.877,219.925
100744,-74.52,40.877,205.963
100745,-74.16,40.877,58.276
100746,-73.822,40.874,34.474
100747,-73.437,40.83,46.721
100748,-73.073,40.847,29.771
100749,-72.73,40.875,18.229
100750,-80.269,41.148,361.236
100751,-79.909,41.148,416.518
100752,-79.55,41.148,411.92
100753,-79.191,41.148,460.308
100754,-78.831,41.148,508.38
100755,-78.472,41.148,554.194
100756,-78.113,41.148,492.937
100757,-77.753,41.148,464.65
100758,-77.394,41.148,369.213
100759,-77.035,41.148,309.264
100760,-76.675,41.148,252.647
100761,-76.316,41.148,294.501
100762,-75.957,41.148,365.415
100763,-75.598,41.148,543.159
100764,-75.238,41.148,413.27
100765,-74.879,41.148,269.959
100766,-74.52,41.148,258.082
100767,-74.16,41.148,189.448
100768,-73.801,41.148,96.866
100769,-73.46,41.17,95.857
100770,-80.269,41.418,375.206
100771,-79.909,41.418,419.024
100772,-79.55,41.418,451.823
100773,-79.191,41.418,493.594
100774,-78.831,41.418,535.056
100775,-78.472,41.418,551.155
100776,-78.113,41.418,512.258
100777,-77.753,41.418,501.265
100778,-77.394,41.418,495.366
100779,-77.035,41.418,440.378
100780,-76.675,41.418,476.105
100781,-76.316,41.418,592.472
100782,-75.957,41.418,370.387
100783,-75.598,41.418,438.737
100784,-75.238,41.418,438.2
100785,-74.879,41.418,346.125
100786,-74.52,41.418,233.282
100787,-74.16,41.418,166.272
100788,-73.801,41.418,183.967
100789,-73.442,41.418,175.82
100790,-73.083,41.418,130.8
100791,-72.723,41.418,81.136
100792,-72.366,41.42,80.49
100793,-72.007,41.435,58.827
100794,-71.655,41.451,48.187
100795,-80.269,41.687,371.057
100796,-79.909,41.687,439.029
100797,-79.55,41.687,479.702
100798,-79.191,41.687,516.937
100799,-78.831,41.687,581.72
100800,-78.472,41.687,616.917
100801,-78.113,41.687,596.483
100802,-77.753,41.687,632.548
100803,-77.394,41.687,543.701
100804,-77.035,41.687,551.987
100805,-76.675,41.687,473.721
100806,-76.316,41.687,373.311
100807,-75.957,41.687,363.903
100808,-75.598,41.687,463.49
100809,-75.238,41.687,418.863
100810,-74.879,41.687,400.294
100811,-74.52,41.687,362.603
100812,-74.16,41.687,168.477
100813,-73.801,41.687,140.425
100814,-73.442,41.687,251.517
100815,-73.082,41.687,233.79
100816,-72.723,41.687,64.453
100817,-72.364,41.687,152.002
100818,-72.004,41.687,109.137
100819,-71.645,41.687,118.708
100820,-71.271,41.703,26.689
100821,-70.944,41.703,28.988
100822,-70.559,41.693,22.868
100823,-80.256,41.941,321.219
100824,-79.909,41.955,429.64
100825,-79.55,41.955,492.302
100826,-79.191,41.955,493.913
100827,-78.831,41.955,579.416
100828,-78.472,41.955,556.03
100829,-78.113,41.955,615.664
100830,-77.753,41.955,645.189
100831,-77.394,41.955,516.949
100832,-77.035,41.955,475.511
100833,-76.675,41.955,403.941
100834,-76.316,41.955,392.744
100835,-75.957,41.955,441.595
100836,-75.598,41.955,466.558
100837,-75.238,41.955,477.706
100838,-74.879,41.955,593.135
100839,-74.52,41.955,678.26
100840,-74.16,41.955,241.353
100841,-73.801,41.955,135.814
100842,-73.442,41.955,293.454
100843,-73.082,41.955,344.177
100844,-72.723,41.955,88.781
100845,-72.364,41.955,186.572
100846,-72.004,41.955,185.344
100847,-71.645,41.955,140.315
100848,-71.286,41.955,55.237
